areaLand,isPartOf_label
NULL,{Andhra Pradesh|Nalgonda district}
NULL,{Adilabad district|Andhra Pradesh}
NULL,Maranhão
NULL,{Pratapgarh district Uttar Pradesh|Uttar Pradesh}
NULL,{Bhojpur district India|Bihar}
NULL,{Muzaffarnagar district|Uttar Pradesh}
NULL,Rio de Janeiro
NULL,{Bokaro district|Jharkhand}
NULL,Guizhou
NULL,NULL
NULL,{Huludao|Liaoning}
NULL,Jalisco
NULL,{Amethi district|Uttar Pradesh}
NULL,District of Kosovska Mitrovica
NULL,District of Prizren
NULL,{Gondia district|Maharashtra}
NULL,{Beed district|Maharashtra}
NULL,{Guerrero|Huitzuco de los Figueroa}
NULL,{Jilin|Jilin City}
{2.266e+07|2.26624e+07},{Cass County Indiana|Indiana}
NULL,{Core Neighbourhoods SDA Saskatoon|Saskatoon}
NULL,{North Region Brazil|Pará}
NULL,{Fatehpur district|Uttar Pradesh}
NULL,{Akola district|Maharashtra}
NULL,{Andhra Pradesh|Ranga Reddy district}
NULL,{Amravati district|Maharashtra}
NULL,{Bhandara district|Maharashtra}
NULL,{Gondia district|Maharashtra}
NULL,{Nutana SDA Saskatoon|Saskatoon}
NULL,Aïn Defla Province
NULL,{Moerdijk|North Brabant}
NULL,{Ahmednagar district|Maharashtra}
NULL,{Maharashtra|Satara district}
NULL,Beylagan District
NULL,{Assam|Hailakandi district}
NULL,{Madhya Pradesh|Ujjain district}
NULL,{Assam|Tinsukia district}
NULL,{New York|Queens}
{1.0619e+07|1.062e+07},{Jackson County Wisconsin|Wisconsin}
NULL,{Andhra Pradesh|Vizianagaram district}
NULL,{Bahia|Northeast Region Brazil}
NULL,Marahoué
NULL,{Adilabad district|Andhra Pradesh}
{3.6e+07|3.60008e+07},{Kentucky|Marshall County Kentucky}
NULL,{Odisha|Rayagada district}
NULL,{Andhra Pradesh|Srikakulam district}
NULL,{Maharashtra|Thane district}
NULL,{Balasore district|Odisha}
NULL,{Angul district|Odisha}
NULL,Rocha Department
NULL,{Barabanki district|Uttar Pradesh}
NULL,{Baramulla district|Jammu and Kashmir}
NULL,Skopje Statistical Region
NULL,Skopje Statistical Region
NULL,Skopje Statistical Region
NULL,Skopje Statistical Region
NULL,{Banka district|Bihar}
NULL,{Eastern Visayas|Samar}
NULL,{Saladin Province|Tooz District}
NULL,{Colima|Villa de Álvarez Municipality}
NULL,{Baramulla district|Jammu and Kashmir}
NULL,Jammu and Kashmir
NULL,{Rampur district|Uttar Pradesh}
NULL,{Chhattisgarh|Sarguja_District}
NULL,{Chhattisgarh|Durg district}
NULL,{Maharashtra|Satara district}
NULL,{Jabalpur district|Madhya Pradesh}
NULL,{Bilaspur district Chhattisgarh|Chhattisgarh}
NULL,{Chhattisgarh|Durg district}
